mac, time, freq, fftAccX, fftAccY, fftAccZ, fftVelocX, fftVelocY, fftVelocZ,
454822000009,2022-04-28T05:05:52.000Z,0,0.1557,0.5868,9.9323,Infinity,Infinity,Infinity
,,850,0.1557,0.0647,0.0958,0.0292,0.0121,0.0179
,,853.125,0.1317,0.103,0,0.0246,0.0192,0
,,856.25,0.1868,0.0383,0.1054,0.0347,0.0071,0.0196
,,859.375,0.0216,0.1198,0.1245,0.004,0.0222,0.0231
,,862.5,0.0503,0.1365,0.1198,0.0093,0.0252,0.0221
,,865.625,0.3138,0.0263,0.1485,0.0577,0.0048,0.0273
,,868.75,0.0287,0.1653,0.1389,0.0053,0.0303,0.0254
,,871.875,0.0766,0.0431,0.0383,0.014,0.0079,0.007
,,875,0.1174,0.1269,0.1054,0.0214,0.0231,0.0192
,,878.125,0.1557,0.0742,0.1413,0.0282,0.0134,0.0256
,,881.25,0.0647,0.1653,0.0623,0.0117,0.0299,0.0113
,,884.375,0.1413,0.2012,0.1102,0.0254,0.0362,0.0198
,,887.5,0.1748,0.0407,0.1533,0.0313,0.0073,0.0275
,,890.625,0.1557,0.2084,0.1198,0.0278,0.0372,0.0214
,,893.75,0.2203,0.0503,0.0263,0.0392,0.009,0.0047
,,896.875,0.1413,0.1629,0.0982,0.0251,0.0289,0.0174
,,900,0.1174,0.3138,0.2179,0.0208,0.0555,0.0385
,,903.125,0.1126,0.2227,0.0862,0.0198,0.0392,0.0152
,,906.25,0.1341,0.2682,0.1748,0.0236,0.0471,0.0307
,,909.375,0.1844,0.1581,0.0766,0.0323,0.0277,0.0134
,,912.5,0.0575,0.0527,0.0623,0.01,0.0092,0.0109
,,915.625,0.1916,0.1533,0.1365,0.0333,0.0266,0.0237
,,918.75,0.0695,0.103,0.079,0.012,0.0178,0.0137
,,921.875,0.0575,0.1724,0.091,0.0099,0.0298,0.0157
,,925,0.1557,0.2515,0.1605,0.0268,0.0433,0.0276
,,928.125,0.1221,0.1413,0.0862,0.0209,0.0242,0.0148
,,931.25,0.0359,0.2491,0.1413,0.0061,0.0426,0.0241
,,934.375,0.0862,0.0527,0.0647,0.0147,0.009,0.011
,,937.5,0.1413,0.024,0.0814,0.024,0.0041,0.0138
,,940.625,0.1437,0.2084,0.115,0.0243,0.0353,0.0195
,,943.75,0.0862,0.1844,0.0479,0.0145,0.0311,0.0081
,,946.875,0.1605,0.1988,0.1581,0.027,0.0334,0.0266
,,950,0.0192,0.1605,0.1054,0.0032,0.0269,0.0177
,,953.125,0.1317,0.3042,0.1245,0.022,0.0508,0.0208
,,956.25,0.1078,0.1221,0.0431,0.0179,0.0203,0.0072
,,959.375,0.1245,0.2802,0.1485,0.0207,0.0465,0.0246
,,962.5,0.1844,0.2491,0.1293,0.0305,0.0412,0.0214
,,965.625,NaN,0.3305,0.1006,NaN,0.0545,0.0166
,,968.75,NaN,0.1677,0.1054,NaN,0.0276,0.0173
,,971.875,NaN,0.1629,0.1102,NaN,0.0267,0.018
,,975,NaN,0.0551,0.0216,NaN,0.009,0.0035
,,978.125,NaN,0.273,0.1245,NaN,0.0444,0.0203
,,981.25,NaN,0.0742,0.0072,NaN,0.012,0.0012
,,984.375,NaN,0.1174,0.0335,NaN,0.019,0.0054
,,987.5,NaN,0.1509,0.1653,NaN,0.0243,0.0266
,,990.625,NaN,0.115,0.1724,NaN,0.0185,0.0277
,,993.75,NaN,0.0934,0.1796,NaN,0.015,0.0288
,,996.875,NaN,0.2826,0.0623,NaN,0.0451,0.0099
,,1000,0,0.1557,0.0862,0,0.0248,0.0137
,,1003.125,0.2515,0.2084,0.1293,0.0399,0.0331,0.0205
,,1006.25,0.0647,0.1485,0.0958,0.0102,0.0235,0.0152
,,1009.375,0.1581,0.1892,0.0407,0.0249,0.0298,0.0064
,,1012.5,0.1772,0.1509,0.1341,0.0279,0.0237,0.0211
,,1015.625,0.0503,NaN,0.0623,0.0079,NaN,0.0098
,,1018.75,0.0479,NaN,0.1102,0.0075,NaN,0.0172
,,1021.875,0.1317,NaN,0.1413,0.0205,NaN,0.022
,,1025,0.091,NaN,0.1198,0.0141,NaN,0.0186
,,1028.125,0.1317,NaN,0.1078,0.0204,NaN,0.0167
,,1031.25,0.2251,NaN,0.1509,0.0347,NaN,0.0233
,,1034.375,0.1293,NaN,0.0695,0.0199,NaN,0.0107
,,1037.5,0.1677,NaN,0.1078,0.0257,NaN,0.0165
,,1040.625,0.103,NaN,0.2323,0.0158,NaN,0.0355
,,1043.75,0.0766,NaN,0.0192,0.0117,NaN,0.0029
,,1046.875,0.0407,NaN,0.103,0.0062,NaN,0.0157
,,1050,0.0695,0,0.1724,0.0105,0,0.0261
,,1053.125,0.0695,0.1485,0.0383,0.0105,0.0224,0.0058
,,1056.25,0.1724,0.3832,0.1102,0.026,0.0577,0.0166
,,1059.375,0.0551,0.3784,0.0862,0.0083,0.0568,0.013
,,1062.5,0.012,0.1461,0.1317,0.0018,0.0219,0.0197
,,1065.625,0.1245,0.2874,0.3018,0.0186,0.0429,0.0451
,,1068.75,0.3473,1.0131,0.6131,0.0517,0.1509,0.0913
,,1071.875,0.0671,0.2922,0.1413,0.01,0.0434,0.021
,,1075,0.0599,0.3401,0.1844,0.0089,0.0504,0.0273
,,1078.125,0.1293,0.1389,0.024,0.0191,0.0205,0.0035
,,1081.25,0.1581,0.2874,0.103,0.0233,0.0423,0.0152
,,1084.375,0.0431,0.1653,0.0479,0.0063,0.0243,0.007
,,1087.5,0.0503,0.2132,0.0982,0.0074,0.0312,0.0144
