mac, time, freq, fftAccX, fftAccY, fftAccZ, fftVelocX, fftVelocY, fftVelocZ,
45482200000A,2022-05-09T00:08:51.000Z,0,0.0216,2.6944,9.7143,Infinity,Infinity,Infinity
,,568.75,0.0551,0.1245,0.091,0.0154,0.0348,0.0255
,,571.875,0.0814,0.1581,0.0263,0.0227,0.044,0.0073
,,575,0.0958,0.2299,0.0479,0.0265,0.0636,0.0133
,,578.125,0.0527,0.285,0.2874,0.0145,0.0785,0.0791
,,581.25,0.1389,0.0479,0.2706,0.038,0.0131,0.0741
,,584.375,0.182,0.1581,0.2443,0.0496,0.0431,0.0665
,,587.5,0.0862,0.3066,0.2012,0.0234,0.0831,0.0545
,,590.625,0.194,0.1389,0.1844,0.0523,0.0374,0.0497
,,593.75,0.103,0.1677,0.1605,0.0276,0.045,0.043
,,596.875,0.1772,0.0982,0.0431,0.0472,0.0262,0.0115
,,600,0.17,0.0719,0.103,0.0451,0.0191,0.0273
,,603.125,0.1221,0.206,0.0359,0.0322,0.0544,0.0095
,,606.25,0.0958,0.0479,0.0479,0.0251,0.0126,0.0126
,,609.375,0.1269,0.1389,0.182,0.0331,0.0363,0.0475
,,612.5,0.1317,0.1461,0.1772,0.0342,0.038,0.046
,,615.625,0.115,0.1341,0.1389,0.0297,0.0347,0.0359
,,618.75,0.2203,0.309,0.1389,0.0567,0.0795,0.0357
,,621.875,0.1221,0.1677,0.0814,0.0312,0.0429,0.0208
,,625,0.0886,0.0527,0.17,0.0226,0.0134,0.0433
,,628.125,0.024,0.091,0.2419,0.0061,0.0231,0.0613
,,631.25,0.0862,0.115,0.2108,0.0217,0.029,0.0531
,,634.375,0.182,0.091,0.3042,0.0457,0.0228,0.0763
,,637.5,0.0838,0.091,0.1102,0.0209,0.0227,0.0275
,,640.625,0.1054,0.1581,0.2515,0.0262,0.0393,0.0625
,,643.75,0.1605,0.1293,0.2994,0.0397,0.032,0.074
,,646.875,0.0838,0.0144,0.103,0.0206,0.0035,0.0253
,,650,0.1341,0.079,0.1964,0.0328,0.0193,0.0481
,,653.125,0.182,0.0695,0.2467,0.0444,0.0169,0.0601
,,656.25,0.1868,0.091,0.2539,0.0453,0.0221,0.0616
,,659.375,0.0958,0.0838,0.2898,0.0231,0.0202,0.0699
,,662.5,0.1078,0.0671,0.0814,0.0259,0.0161,0.0196
,,665.625,0.1677,0.0479,0.1916,0.0401,0.0115,0.0458
,,668.75,0.1557,0.0551,0.2251,0.0371,0.0131,0.0536
,,671.875,0.1796,0.0719,0.1533,0.0425,0.017,0.0363
,,675,0.1126,0.1389,0.1006,0.0265,0.0328,0.0237
,,678.125,0.0575,0.0958,0.1269,0.0135,0.0225,0.0298
,,681.25,0.0623,0.0575,0.0551,0.0146,0.0134,0.0129
,,684.375,0.0958,0.0455,0.0335,0.0223,0.0106,0.0078
,,687.5,0.0431,0.0359,0.0359,0.01,0.0083,0.0083
,,690.625,0.1317,0.0551,0.0479,0.0304,0.0127,0.011
,,693.75,0.0742,0.1437,0.0934,0.017,0.033,0.0214
,,696.875,0.0695,0.0766,0.1006,0.0159,0.0175,0.023
,,700,0.0263,0.0455,0.0647,0.006,0.0103,0.0147
,,703.125,0.0359,0.0575,0.0383,0.0081,0.013,0.0087
,,706.25,0.0647,0.0647,0.0814,0.0146,0.0146,0.0183
,,709.375,0.012,0.0072,0.091,0.0027,0.0016,0.0204
,,712.5,0.0335,0.1198,0.0958,0.0075,0.0268,0.0214
,,715.625,0,0.0958,0.0407,0,0.0213,0.0091
,,718.75,0.0431,0.0479,0.0719,0.0095,0.0106,0.0159
,,721.875,0.0503,0.1748,0.0479,0.0111,0.0385,0.0106
,,725,0.0647,0.0742,0.0527,0.0142,0.0163,0.0116
,,728.125,0.0575,0.0335,0.0407,0.0126,0.0073,0.0089
,,731.25,0.0072,0.0551,0.0551,0.0016,0.012,0.012
,,734.375,0.0287,0.0671,0.0479,0.0062,0.0145,0.0104
,,737.5,0.0551,0.1221,0,0.0119,0.0263,0
,,740.625,0.0862,0.079,0.0599,0.0185,0.017,0.0129
,,743.75,0.0551,0.0647,0.0742,0.0118,0.0138,0.0159
,,746.875,0.0048,0.1269,0.0431,0.001,0.027,0.0092
,,750,0.0862,0.079,0.091,0.0183,0.0168,0.0193
,,753.125,0.0455,0.0263,0.024,0.0096,0.0056,0.0051
,,756.25,0.0934,0.0862,0.0623,0.0197,0.0181,0.0131
,,759.375,0.0647,0.0359,0.0216,0.0136,0.0075,0.0045
,,762.5,0.012,0.1174,0.0814,0.0025,0.0245,0.017
,,765.625,0.0695,0.0575,0.0479,0.0144,0.012,0.01
,,768.75,0.0455,0.0479,0.0359,0.0094,0.0099,0.0074
,,771.875,0.0527,0.0359,0.0263,0.0109,0.0074,0.0054
,,775,0.0766,0.0814,0.0479,0.0157,0.0167,0.0098
,,778.125,0.1413,0.1389,0.0982,0.0289,0.0284,0.0201
,,781.25,0.0575,0.0072,0.103,0.0117,0.0015,0.021
,,784.375,0.0503,0.0623,0.0144,0.0102,0.0126,0.0029
,,787.5,0.0742,0.0551,0.0671,0.015,0.0111,0.0136
,,790.625,0.0742,0.0623,0.0958,0.0149,0.0125,0.0193
,,793.75,0.0671,0.0623,0.0263,0.0135,0.0125,0.0053
,,796.875,0.0263,0.0479,0.024,0.0053,0.0096,0.0048
,,800,0.0647,0.0551,0.0263,0.0129,0.011,0.0052
,,803.125,0.0359,0.0479,0.0144,0.0071,0.0095,0.0029
,,806.25,0.0647,0.0719,0.0263,0.0128,0.0142,0.0052
,,809.375,0.0168,0.0742,0.0072,0.0033,0.0146,0.0014
,,812.5,0.0335,0.0814,0.0479,0.0066,0.0159,0.0094
,,815.625,0.0192,0.0287,0.1078,0.0037,0.0056,0.021
,,818.75,0.0623,0.0144,0.0766,0.0121,0.0028,0.0149
,,821.875,0.0647,0.0072,0.0144,0.0125,0.0014,0.0028
,,825,0.0479,0.0431,0.0551,0.0092,0.0083,0.0106
,,828.125,0.0335,0.1006,0.012,0.0064,0.0193,0.0023
,,831.25,0.0838,0.0479,0.0144,0.016,0.0092,0.0028
,,834.375,0.0335,0.0766,0.0144,0.0064,0.0146,0.0027
,,837.5,0.0431,0.024,0.0287,0.0082,0.0046,0.0055
,,840.625,0.1078,0.0575,0.0647,0.0204,0.0109,0.0122
,,843.75,0.0838,0.0359,0.0551,0.0158,0.0068,0.0104
,,846.875,0.0479,0.079,0,0.009,0.0148,0
,,850,0.0263,0.0431,0.0551,0.0049,0.0081,0.0103
,,853.125,0.0263,0.0695,0.0479,0.0049,0.013,0.0089
,,856.25,0.0479,0.0742,0.0216,0.0089,0.0138,0.004
,,859.375,0.0814,0.012,0.0862,0.0151,0.0022,0.016
,,862.5,0.0144,0.1102,0.0575,0.0027,0.0203,0.0106
,,865.625,0.0575,0.0599,0.0503,0.0106,0.011,0.0092
,,868.75,0.024,0.0647,0.0766,0.0044,0.0119,0.014
,,871.875,0.0838,0.0551,0.0311,0.0153,0.0101,0.0057
,,875,0.0431,0.1437,0.0168,0.0078,0.0261,0.0031
,,878.125,0.0527,0.0431,0.0479,0.0096,0.0078,0.0087
,,881.25,0.0431,0.0695,0.1006,0.0078,0.0126,0.0182
,,884.375,0.0455,0.0479,0.0335,0.0082,0.0086,0.006
,,887.5,0.0527,0.0958,0.0168,0.0095,0.0172,0.003
,,890.625,0.0719,0.079,0.103,0.0128,0.0141,0.0184
,,893.75,0.0216,0.0862,0.0192,0.0038,0.0154,0.0034
,,896.875,0.1006,0.1413,0.0192,0.0179,0.0251,0.0034
,,900,0.079,0.0982,0.0263,0.014,0.0174,0.0047
,,903.125,0.091,0.1389,0.079,0.016,0.0245,0.0139
,,906.25,0.0958,0.1772,0.0527,0.0168,0.0311,0.0093
,,909.375,0.0599,0.1844,0.1054,0.0105,0.0323,0.0184
,,912.5,0.079,0.0814,0.0862,0.0138,0.0142,0.015
,,915.625,0.0311,0.1533,0.0814,0.0054,0.0266,0.0141
,,918.75,0.0503,0.0072,0.0144,0.0087,0.0012,0.0025
,,921.875,0.0575,0.0862,0.0814,0.0099,0.0149,0.0141
,,925,0.0359,0.0527,0.0287,0.0062,0.0091,0.0049
,,928.125,0.1006,0.1245,0.1102,0.0173,0.0213,0.0189
,,931.25,0.0335,0.1198,0.0263,0.0057,0.0205,0.0045
,,934.375,0.1054,0.0216,0.0455,0.018,0.0037,0.0078
,,937.5,0.0814,0.0814,0.0766,0.0138,0.0138,0.013
,,940.625,0.1844,0.3114,0.0958,0.0312,0.0527,0.0162
,,943.75,0.1365,0.309,0.0695,0.023,0.0521,0.0117
,,946.875,0.024,0.0599,0.0742,0.004,0.0101,0.0125
,,950,0.0671,0.1437,0.0335,0.0112,0.0241,0.0056
,,953.125,0.0192,0.0527,0.0479,0.0032,0.0088,0.008
,,956.25,0.0671,0.2036,0.0575,0.0112,0.0339,0.0096
,,959.375,0.0886,0.1293,0.1437,0.0147,0.0215,0.0238
,,962.5,0.0479,0.0982,0.024,0.0079,0.0162,0.004
,,965.625,0.0742,0.1844,0.0287,0.0122,0.0304,0.0047
,,968.75,0.0982,0.285,0.1461,0.0161,0.0468,0.024
,,971.875,0.1389,0.079,0.1174,0.0227,0.0129,0.0192
,,975,0.1916,0.1844,0.1437,0.0313,0.0301,0.0235
,,978.125,0.1413,0.1198,0.103,0.023,0.0195,0.0168
,,981.25,0.2323,0.503,0.2012,0.0377,0.0816,0.0326
,,984.375,0.0527,0.1245,0.1054,0.0085,0.0201,0.017
,,987.5,0.182,0.2347,0.115,0.0293,0.0378,0.0185
,,990.625,0.2778,0.5149,0.2587,0.0446,0.0827,0.0416
,,993.75,0.1653,0.0335,0.1341,0.0265,0.0054,0.0215
,,996.875,0.2084,0.2754,0.1964,0.0333,0.044,0.0314
,,1000,0.1221,0.1916,0.0838,0.0194,0.0305,0.0133
,,1003.125,0.1437,0.2706,0.0838,0.0228,0.0429,0.0133
,,1006.25,0.1509,0.2299,0.0431,0.0239,0.0364,0.0068
,,1009.375,0.2036,0.3569,0.1317,0.0321,0.0563,0.0208
,,1012.5,0.0144,0.0766,0.0383,0.0023,0.012,0.006
