mac, time, freq, fftAccX, fftAccY, fftAccZ, fftVelocX, fftVelocY, fftVelocZ,
454822000004,2022-04-27T03:27:07.000Z,0,3.8848,NaN,8.924,Infinity,NaN,Infinity
,,248.4375,0,0.0527,0.0359,0,0.0338,0.023
,,250,0.0623,0.079,0.0479,0.0397,0.0503,0.0305
,,251.5625,0.0072,0.012,0.0431,0.0046,0.0076,0.0273
,,253.125,0.0335,0.091,0.0623,0.0211,0.0572,0.0392
,,254.6875,0.0359,0.1317,0.0695,0.0224,0.0823,0.0434
,,256.25,0.0671,0.0407,0.1509,0.0417,0.0253,0.0937
,,257.8125,0.0479,0.0263,0.0623,0.0296,0.0162,0.0385
,,259.375,0.0814,0.0862,0.0862,0.0499,0.0529,0.0529
,,260.9375,0.0216,0.0575,0.1461,0.0132,0.0351,0.0891
,,262.5,0.0551,0.0216,NaN,0.0334,0.0131,NaN
,,264.0625,0.0862,0.0766,NaN,0.052,0.0462,NaN
,,265.625,0.0144,0.024,NaN,0.0086,0.0144,NaN
,,267.1875,0.1269,0.0695,NaN,0.0756,0.0414,NaN
,,268.75,0.091,0.0168,NaN,0.0539,0.0099,NaN
,,270.3125,0.024,0.0048,NaN,0.0141,0.0028,NaN
,,271.875,0.1581,0.0335,NaN,0.0926,0.0196,NaN
,,273.4375,0.1006,0.0479,NaN,0.0586,0.0279,NaN
,,275,0.0527,0.0072,NaN,0.0305,0.0042,NaN
,,276.5625,0.0886,0.115,NaN,0.051,0.0662,NaN
,,278.125,0.1078,0.0479,NaN,0.0617,0.0274,NaN
,,279.6875,0.079,0.0623,NaN,0.045,0.0355,NaN
,,281.25,0.1389,0.0503,0.1245,0.0786,0.0285,0.0705
,,282.8125,0.0192,0.0479,0.0766,0.0108,0.027,0.0431
,,284.375,0.024,0.0287,0.0719,0.0134,0.0161,0.0402
,,285.9375,0.1245,0.0479,0.115,0.0693,0.0267,0.064
,,287.5,0.0862,0.0192,0.024,0.0477,0.0106,0.0133
,,289.0625,0.0311,0.0431,0.0407,0.0171,0.0237,0.0224
,,290.625,0.0814,0.0623,0.1198,0.0446,0.0341,0.0656
,,292.1875,0.115,0.0359,0.0551,0.0626,0.0196,0.03
,,293.75,0.0623,0.0287,0.0359,0.0338,0.0155,0.0195
,,295.3125,0.0335,0.0623,0.0431,0.0181,0.0336,0.0232
,,296.875,0.115,0.0144,0.0766,0.0617,0.0077,0.0411
,,298.4375,0.0742,0.1748,0.0671,0.0396,0.0932,0.0358
,,300,0.0623,0.1485,0.0407,0.0331,0.0788,0.0216
,,301.5625,0.0599,0.0216,0.0575,0.0316,0.0114,0.0303
,,303.125,0.0527,0.0575,0.0742,0.0277,0.0302,0.039
,,304.6875,0.091,0.0623,0.0862,0.0475,0.0325,0.045
,,306.25,0.024,0.103,0.0647,0.0125,0.0535,0.0336
,,307.8125,0.0263,0.0623,0.0551,0.0136,0.0322,0.0285
,,309.375,0.0216,0.1054,0.0263,0.0111,0.0542,0.0135
,,310.9375,0.024,0.0599,0,0.0123,0.0307,0
,,312.5,0.0647,0.0623,0.0192,0.033,0.0317,0.0098
,,314.0625,0.0144,0.0359,0.0144,0.0073,0.0182,0.0073
,,315.625,0.0599,0.0503,0.0263,0.0302,0.0254,0.0133
,,317.1875,0.0551,0.0575,0.0216,0.0276,0.0289,0.0108
,,318.75,0.0431,0.0479,0.0479,0.0215,0.0239,0.0239
,,320.3125,NaN,0.0886,0.0407,NaN,0.044,0.0202
,,321.875,NaN,0.0263,0.0359,NaN,0.013,0.0178
,,323.4375,NaN,0.1102,0.0407,NaN,0.0542,0.02
,,325,NaN,0.0192,0.0431,NaN,0.0094,0.0211
,,326.5625,NaN,0.0359,0.0311,NaN,0.0175,0.0152
,,328.125,NaN,0.0192,0.0527,NaN,0.0093,0.0256
,,329.6875,NaN,0.0742,0.0527,NaN,0.0358,0.0254
,,331.25,NaN,0.0311,0.0599,NaN,0.0149,0.0288
,,332.8125,NaN,0.0479,0.0766,NaN,0.0229,0.0366
,,334.375,NaN,0.0263,0.0695,NaN,0.0125,0.0331
,,335.9375,NaN,0.0287,0.0766,NaN,0.0136,0.0363
,,337.5,NaN,0.0168,0.0335,NaN,0.0079,0.0158
,,339.0625,0.0216,0.0647,0.0263,0.0101,0.0304,0.0123
,,340.625,0.0719,0.0168,0.1293,0.0336,0.0078,0.0604
,,342.1875,0.0311,0.012,0.0742,0.0145,0.0056,0.0345
,,343.75,0.012,0.0192,0.0216,0.0056,0.0089,0.01
,,345.3125,0.0263,NaN,0.0431,0.0121,NaN,0.0199
,,346.875,0.0335,NaN,0.0527,0.0154,NaN,0.0242
,,348.4375,0.0431,NaN,0.0575,0.0197,NaN,0.0263
,,350,0.0575,NaN,0.079,0.0261,NaN,0.0359
,,351.5625,0.0407,NaN,0.0359,0.0184,NaN,0.0163
,,353.125,0,NaN,0.0407,0,NaN,0.0183
,,354.6875,0.0359,NaN,0.0671,0.0161,NaN,0.0301
,,356.25,NaN,NaN,0.0623,NaN,NaN,0.0278
,,357.8125,NaN,NaN,0.012,NaN,NaN,0.0053
,,359.375,NaN,NaN,0.0886,NaN,NaN,0.0392
,,360.9375,NaN,NaN,0.0695,NaN,NaN,0.0306
,,362.5,NaN,NaN,0.0671,NaN,NaN,0.0295
,,364.0625,NaN,0.0527,0.091,NaN,0.023,0.0398
,,365.625,NaN,0.1389,0.0479,NaN,0.0605,0.0209
,,367.1875,NaN,0.0623,0.0383,NaN,0.027,0.0166
,,368.75,NaN,0.0527,0.0335,NaN,0.0227,0.0145
,,370.3125,NaN,0.0072,0.0575,NaN,0.0031,0.0247
,,371.875,NaN,0.0982,0.0335,NaN,0.042,0.0143
,,373.4375,NaN,0.0383,0.0359,NaN,0.0163,0.0153
,,375,0.024,0.0958,0.0072,0.0102,0.0407,0.0031
,,376.5625,0.0168,0.0527,0.0742,0.0071,0.0223,0.0314
,,378.125,0.012,0.0671,0.0407,0.0051,0.0282,0.0171
,,379.6875,0.0335,0.0575,0.0335,0.014,0.0241,0.014
,,381.25,0.0647,0.0263,0.024,0.027,0.011,0.01
,,382.8125,0.0287,0.0407,0.0168,0.0119,0.0169,0.007
,,384.375,0.0359,0.0192,0.0383,0.0149,0.0079,0.0159
,,385.9375,0.0335,0.0647,0.0479,0.0138,0.0267,0.0198
,,387.5,0.0168,0.0407,0.0168,0.0069,0.0167,0.0069
,,389.0625,0.0359,0.0287,0.0072,0.0147,0.0117,0.0029
,,390.625,0.0383,0.0168,0.0072,0.0156,0.0068,0.0029
,,392.1875,NaN,0.0192,0.0287,NaN,0.0078,0.0116
,,393.75,NaN,0.0479,0.0527,NaN,0.0194,0.0213
,,395.3125,NaN,0.0599,0.0359,NaN,0.0241,0.0145
,,396.875,NaN,0.012,0.0168,NaN,0.0048,0.0067
,,398.4375,NaN,0.0431,0.0431,NaN,0.0172,0.0172
,,400,NaN,NaN,0.012,NaN,NaN,0.0048
,,401.5625,NaN,NaN,0.024,NaN,NaN,0.0095
,,403.125,NaN,NaN,0.0359,NaN,NaN,0.0142
,,404.6875,NaN,NaN,0.0263,NaN,NaN,0.0103
,,406.25,NaN,NaN,0.0192,NaN,NaN,0.0075
,,407.8125,NaN,NaN,0.024,NaN,NaN,0.0094
,,409.375,NaN,NaN,0.0671,NaN,NaN,0.0261
,,410.9375,0.0359,NaN,0.0216,0.0139,NaN,0.0084
,,412.5,0.0431,NaN,0.0599,0.0166,NaN,0.0231
,,414.0625,0.0168,NaN,0.0072,0.0065,NaN,0.0028
,,415.625,0.0192,NaN,0.0575,0.0074,NaN,0.022
