mac, time, freq, fftAccX, fftAccY, fftAccZ, fftVelocX, fftVelocY, fftVelocZ,
45482200000A,2022-05-07T03:09:01.000Z,0,0.1269,2.8477,9.7024,Infinity,Infinity,Infinity
,,659.375,0.1054,0.0551,0.1006,0.0254,0.0133,0.0243
,,662.5,0.0958,0.0934,0.1389,0.023,0.0224,0.0334
,,665.625,0.0335,0.103,0.1006,0.008,0.0246,0.0241
,,668.75,0.0216,0.0479,0.0407,0.0051,0.0114,0.0097
,,671.875,0.1006,0.0479,0.1365,0.0238,0.0113,0.0323
,,675,0.1629,0.0383,0.0431,0.0384,0.009,0.0102
,,678.125,0.0144,0.0407,0.0263,0.0034,0.0096,0.0062
,,681.25,0.1245,0.0838,0.0503,0.0291,0.0196,0.0118
,,684.375,0.1102,0.079,0.1341,0.0256,0.0184,0.0312
,,687.5,0.0766,0.079,0.1174,0.0177,0.0183,0.0272
,,690.625,0.0287,0.0742,0.0479,0.0066,0.0171,0.011
,,693.75,0.0431,0.0719,0.0575,0.0099,0.0165,0.0132
,,696.875,0.0886,0.0623,0.0623,0.0202,0.0142,0.0142
,,700,0.0431,0.0527,0.115,0.0098,0.012,0.0261
,,703.125,0.0335,0.0623,0.079,0.0076,0.0141,0.0179
,,706.25,0.0144,0.1964,0.1054,0.0032,0.0443,0.0238
,,709.375,0.0359,0.1389,0.0431,0.0081,0.0312,0.0097
,,712.5,0.0503,0.0719,0.0527,0.0112,0.0161,0.0118
,,715.625,0.0862,0.0814,0.0862,0.0192,0.0181,0.0192
,,718.75,0.0072,0.0527,0.0575,0.0016,0.0117,0.0127
,,721.875,0.0527,0.1078,0.1006,0.0116,0.0238,0.0222
,,725,0.0216,0.1461,0.0671,0.0047,0.0321,0.0147
,,728.125,0.0359,0.0647,0.0192,0.0078,0.0141,0.0042
,,731.25,0.0623,0.0862,0.0503,0.0136,0.0188,0.0109
,,734.375,0.0934,0.0742,0.0671,0.0202,0.0161,0.0145
,,737.5,0.0455,0.0335,0.0144,0.0098,0.0072,0.0031
,,740.625,0.0766,0.0287,0.0144,0.0165,0.0062,0.0031
,,743.75,0.0551,0.1221,0.0575,0.0118,0.0261,0.0123
,,746.875,0.0431,0.0742,0.0958,0.0092,0.0158,0.0204
,,750,0.0383,0.0599,0.0431,0.0081,0.0127,0.0091
,,753.125,0.0144,0.0383,0.0383,0.003,0.0081,0.0081
,,756.25,0.0623,0.079,0.0671,0.0131,0.0166,0.0141
,,759.375,0.0168,0.0695,0.0168,0.0035,0.0146,0.0035
,,762.5,0,0.0814,0.0383,0,0.017,0.008
,,765.625,0.103,0.1006,0.0814,0.0214,0.0209,0.0169
,,768.75,0.0551,0.079,0.012,0.0114,0.0164,0.0025
,,771.875,0.0335,0.1245,0.0168,0.0069,0.0257,0.0035
,,775,0.0359,0.0838,0.0647,0.0074,0.0172,0.0133
,,778.125,0.0359,0.0311,0.0527,0.0073,0.0064,0.0108
,,781.25,0.0431,0.0527,0.0048,0.0088,0.0107,0.001
,,784.375,0.0575,0.0575,0.0623,0.0117,0.0117,0.0126
,,787.5,0.012,0.115,0.0647,0.0024,0.0232,0.0131
,,790.625,0.0383,0.079,0.0527,0.0077,0.0159,0.0106
,,793.75,0.0623,0.0647,0.0575,0.0125,0.013,0.0115
,,796.875,0.0287,0.079,0.0287,0.0057,0.0158,0.0057
,,800,0.0575,NaN,0.0623,0.0114,NaN,0.0124
,,803.125,0.0527,NaN,0.0144,0.0104,NaN,0.0029
,,806.25,0.0479,NaN,0.0766,0.0095,NaN,0.0151
,,809.375,0.0263,NaN,0.0503,0.0052,NaN,0.0099
,,812.5,0.0144,NaN,0.0216,0.0028,NaN,0.0042
,,815.625,0.0479,NaN,0.024,0.0093,NaN,0.0047
,,818.75,0.0575,NaN,0.0479,0.0112,NaN,0.0093
,,821.875,0.024,NaN,0.0263,0.0046,NaN,0.0051
,,825,0.0287,NaN,0.0551,0.0055,NaN,0.0106
,,828.125,0.0551,NaN,0.0287,0.0106,NaN,0.0055
,,831.25,0.0359,NaN,0.0431,0.0069,NaN,0.0083
,,834.375,0.0814,0,0.079,0.0155,0,0.0151
,,837.5,0.0287,0.0503,0.0359,0.0055,0.0096,0.0068
,,840.625,0.0503,0.0719,0.0647,0.0095,0.0136,0.0122
,,843.75,0,0.0263,0.0551,0,0.005,0.0104
,,846.875,0.0479,0.0335,0,0.009,0.0063,0
,,850,0.0263,0.0599,0.0455,0.0049,0.0112,0.0085
,,853.125,0,0.0623,0.0144,0,0.0116,0.0027
,,856.25,0.012,0.0263,0.0647,0.0022,0.0049,0.012
,,859.375,0.1581,0.0072,0.0072,0.0293,0.0013,0.0013
,,862.5,0.0431,0.0359,0.0575,0.008,0.0066,0.0106
,,865.625,0.0048,0.0527,0.0431,0.0009,0.0097,0.0079
,,868.75,0.0263,0.0431,0.0599,0.0048,0.0079,0.011
,,871.875,0.0263,0.103,0.0335,0.0048,0.0188,0.0061
,,875,0.0359,0.0263,0.0623,0.0065,0.0048,0.0113
,,878.125,0.012,0.091,0.079,0.0022,0.0165,0.0143
,,881.25,0.0431,0.0287,0.079,0.0078,0.0052,0.0143
,,884.375,0.0359,0.0407,0.091,0.0065,0.0073,0.0164
,,887.5,0.0431,0.0216,0.0431,0.0077,0.0039,0.0077
,,890.625,0.0479,0.0287,0.0407,0.0086,0.0051,0.0073
,,893.75,0.0287,0.1102,0.0479,0.0051,0.0196,0.0085
,,896.875,0.0719,0.0814,0.0814,0.0128,0.0144,0.0144
,,900,0.0383,0.1126,0.0503,0.0068,0.0199,0.0089
,,903.125,0.0407,0.0814,0.0647,0.0072,0.0143,0.0114
,,906.25,0.0862,0.0958,0.0814,0.0151,0.0168,0.0143
,,909.375,0,0.0719,0.0407,0,0.0126,0.0071
,,912.5,0.0359,0.0527,0.0431,0.0063,0.0092,0.0075
,,915.625,0.115,0.0431,0.0431,0.02,0.0075,0.0075
,,918.75,0.0527,0.0719,0.0431,0.0091,0.0125,0.0075
,,921.875,0.0647,0.1413,0.0287,0.0112,0.0244,0.005
,,925,0.0695,0.206,0.079,0.012,0.0354,0.0136
,,928.125,0.1126,0.0575,0.103,0.0193,0.0099,0.0177
,,931.25,0.0575,0.1365,0.0695,0.0098,0.0233,0.0119
,,934.375,0.0455,0.1868,0.0263,0.0078,0.0318,0.0045
,,937.5,0.0695,0.0982,0.0551,0.0118,0.0167,0.0094
,,940.625,0.0479,0.0934,0.0766,0.0081,0.0158,0.013
,,943.75,0.012,0.0766,0.0431,0.002,0.0129,0.0073
,,946.875,0.0647,0.0958,0.0671,0.0109,0.0161,0.0113
,,950,0.079,0.0934,0.0359,0.0132,0.0156,0.006
,,953.125,0.0263,0.1581,0.0599,0.0044,0.0264,0.01
,,956.25,0.115,0.2203,0.1126,0.0191,0.0367,0.0187
,,959.375,0.0431,0.0814,0,0.0072,0.0135,0
,,962.5,0.0766,0.2084,0.0814,0.0127,0.0345,0.0135
,,965.625,0.1198,0.1629,0.0838,0.0197,0.0268,0.0138
,,968.75,0.1413,0.3018,0.0862,0.0232,0.0496,0.0142
,,971.875,0.0479,0.0623,0.0455,0.0078,0.0102,0.0075
,,975,0.0982,0.2371,0.0168,0.016,0.0387,0.0027
,,978.125,0.0431,0.0144,0.0168,0.007,0.0023,0.0027
,,981.25,0.0671,0.2299,0.0263,0.0109,0.0373,0.0043
,,984.375,0.1078,0.2395,0.0958,0.0174,0.0387,0.0155
,,987.5,0.1126,0.2778,0.1102,0.0181,0.0448,0.0178
,,990.625,0.0671,0.1605,0.0623,0.0108,0.0258,0.01
,,993.75,0.1221,0.1198,0.103,0.0196,0.0192,0.0165
,,996.875,0.1174,0.297,0.0455,0.0187,0.0474,0.0073
,,1000,0.2898,0.5125,0.3545,0.0461,0.0816,0.0564
,,1003.125,0.1892,0.3688,0.1653,0.03,0.0585,0.0262
,,1006.25,0.1006,0.2515,0.0311,0.0159,0.0398,0.0049
,,1009.375,0.0886,0.2347,0.024,0.014,0.037,0.0038
,,1012.5,0.1605,0.5269,0.1102,0.0252,0.0828,0.0173
,,1015.625,0.1078,0.2395,0.0311,0.0169,0.0375,0.0049
