mac, time, freq, fftAccX, fftAccY, fftAccZ, fftVelocX, fftVelocY, fftVelocZ,
45482200000A,2022-04-28T03:10:06.000Z,0,0.2323,NaN,9.9035,Infinity,NaN,Infinity
,,971.875,0.1317,0.1916,0.1557,0.0216,0.0314,0.0255
,,975,0.1557,0.2635,0.2587,0.0254,0.043,0.0422
,,978.125,0.2012,0.4048,0.2754,0.0327,0.0659,0.0448
,,981.25,0.1844,0.3161,0.1221,0.0299,0.0513,0.0198
,,984.375,0.103,0.2299,0.0647,0.0167,0.0372,0.0105
,,987.5,0.0719,0.1892,0.1293,0.0116,0.0305,0.0208
,,990.625,0.3353,0.5221,0.1365,0.0539,0.0839,0.0219
,,993.75,0.1892,0.297,0.1413,0.0303,0.0476,0.0226
,,996.875,0.3617,0.3401,0.388,0.0577,0.0543,0.0619
,,1000,0.3353,0.1557,0.1844,0.0534,0.0248,0.0293
,,1003.125,0.2898,0.2132,0.2491,0.046,0.0338,0.0395
,,1006.25,0.3952,0.5868,0.5269,0.0625,0.0928,0.0833
,,1009.375,0.0431,0.0742,0.079,0.0068,0.0117,0.0125
,,1012.5,0.6179,0.8287,0.4718,0.0971,0.1303,0.0742
,,1015.625,0.2826,0.3209,0.1437,0.0443,0.0503,0.0225
,,1018.75,0.115,0.3233,0.079,0.018,0.0505,0.0123
,,1021.875,0.4694,0.5078,0.2251,0.0731,0.0791,0.0351
,,1025,0.1581,0.2635,0.0886,0.0245,0.0409,0.0138
,,1028.125,0.1437,0.1341,0.2036,0.0222,0.0208,0.0315
,,1031.25,0.2778,0.3161,0.2084,0.0429,0.0488,0.0322
,,1034.375,0.2682,0.3928,0.3784,0.0413,0.0604,0.0582
,,1037.5,0.6658,0.6179,0.4335,0.1021,0.0948,0.0665
,,1040.625,0.0359,0.079,0.1677,0.0055,0.0121,0.0256
,,1043.75,0.3257,0.3712,0.2874,0.0497,0.0566,0.0438
,,1046.875,0.7377,0.7568,0.3305,0.1122,0.1151,0.0502
,,1050,0.4407,0.4503,0.2898,0.0668,0.0683,0.0439
,,1053.125,0.491,0.6754,0.2659,0.0742,0.1021,0.0402
,,1056.25,0.0719,0.1341,0.2179,0.0108,0.0202,0.0328
,,1059.375,0.1365,0.3521,0.103,0.0205,0.0529,0.0155
,,1062.5,0.3928,0.3664,0.3928,0.0588,0.0549,0.0588
,,1065.625,0.4359,0.3856,0.4742,0.0651,0.0576,0.0708
,,1068.75,0.1245,0.1892,0.1437,0.0185,0.0282,0.0214
,,1071.875,0.4622,0.4407,0.2994,0.0686,0.0654,0.0445
,,1075,0.3281,0.7473,0.2251,0.0486,0.1106,0.0333
,,1078.125,0.17,0.8119,0.8981,0.0251,0.1199,0.1326
,,1081.25,0.2635,0.3305,0.0623,0.0388,0.0486,0.0092
,,1084.375,0.115,0.1844,0.1748,0.0169,0.0271,0.0257
,,1087.5,0.3832,0.3569,0.2587,0.0561,0.0522,0.0379
,,1090.625,0.024,0.2179,0.1796,0.0035,0.0318,0.0262
,,1093.75,0.0934,0.1365,0.1006,0.0136,0.0199,0.0146
,,1096.875,0.0719,0.0742,0.0263,0.0104,0.0108,0.0038
,,1100,0.194,0.1557,0.1653,0.0281,0.0225,0.0239
